measure,sample,lags,controls,regressor,n_obs,sum_coef,joint_p
ppi,post_1981_break,4,base+output,federal,173,-0.0455,0.02
ppi,post_1981_break,4,base+output,ALL THREE (joint),173,,0.0008
ppi,pre_covid_1959_2019,2,none,mortgage,213,0.2448,0.1737
ppi,pre_covid_1959_2019,2,none,consumer,213,0.0323,0.078
ppi,pre_covid_1959_2019,2,none,federal,213,0.0667,0.1323
ppi,pre_covid_1959_2019,2,none,ALL THREE (joint),213,,0.0065
ppi,pre_covid_1959_2019,2,base,mortgage,213,0.2578,0.1451
ppi,pre_covid_1959_2019,2,base,consumer,213,0.0297,0.065
ppi,pre_covid_1959_2019,2,base,federal,213,0.0424,0.1573
ppi,pre_covid_1959_2019,2,base,ALL THREE (joint),213,,0.0036
ppi,pre_covid_1959_2019,2,base+output,mortgage,213,0.2606,0.1502
ppi,pre_covid_1959_2019,2,base+output,consumer,213,0.0788,0.0479
ppi,pre_covid_1959_2019,2,base+output,federal,213,0.045,0.1571
ppi,pre_covid_1959_2019,2,base+output,ALL THREE (joint),213,,0.0021
ppi,pre_covid_1959_2019,4,none,mortgage,211,0.2729,0.1943
ppi,pre_covid_1959_2019,4,none,consumer,211,-0.0183,0.0486
ppi,pre_covid_1959_2019,4,none,federal,211,-0.0721,0.0177
ppi,pre_covid_1959_2019,4,none,ALL THREE (joint),211,,0.0021
ppi,pre_covid_1959_2019,4,base,mortgage,211,0.317,0.1208
ppi,pre_covid_1959_2019,4,base,consumer,211,-0.0122,0.0556
ppi,pre_covid_1959_2019,4,base,federal,211,-0.1481,0.0155
ppi,pre_covid_1959_2019,4,base,ALL THREE (joint),211,,0.0034
ppi,pre_covid_1959_2019,4,base+output,mortgage,211,0.3116,0.1107
ppi,pre_covid_1959_2019,4,base+output,consumer,211,-0.0373,0.0644
ppi,pre_covid_1959_2019,4,base+output,federal,211,-0.1363,0.0161
ppi,pre_covid_1959_2019,4,base+output,ALL THREE (joint),211,,0.0009
gdpdef,full_1959_2026,2,none,mortgage,238,0.0381,0.0268
gdpdef,full_1959_2026,2,none,consumer,238,0.0019,0.4658
