quarter_end,beta_const,beta_d_rate_mortgage_lag1,beta_pce_real_g_lag1,beta_fed_debt_g_lag1,se_const,se_d_rate_mortgage_lag1,se_pce_real_g_lag1,se_fed_debt_g_lag1
1993-09-30,5.012358990421788,-0.28621800872628766,-0.024364768371981652,0.01112177112998899,0.8302078405513892,0.43097322429412205,0.02784075694988114,0.03881022168300237
1993-12-31,5.6091195974666626,-0.27798769947672236,-0.02436476852231334,0.011293330712988518,0.7993363668640506,0.43178401328061694,0.027840756752326588,0.03880935877677654
1994-03-31,6.3724858321346725,-0.2700755536944878,-0.024364768664942714,0.01149113739502014,0.8145525837865238,0.43248787528819616,0.027840756555382408,0.03877354725352954
1994-06-30,6.421299508633119,-0.26200930419526675,-0.02436476883365871,0.01145893303277722,0.782576841179959,0.4329055927380176,0.02784075635827771,0.03878543676402211
1994-09-30,6.588646341887885,-0.25378854527027084,-0.024364768996743766,0.011438849704247961,0.8357922098158734,0.4329639081155347,0.027840756162031154,0.038769852110467594
1994-12-31,6.907310450220665,-0.24467264582405157,-0.024364769154930035,0.011445375302916647,0.7807522764783026,0.43482451923470206,0.02784075596547789,0.03874881629712246
1995-03-31,6.969866095241658,-0.2357797398377206,-0.024364769321242374,0.011422045484950433,0.8037730187422409,0.4362596876808046,0.027840755768323466,0.038703160371210264
1995-06-30,6.812165397321028,-0.22747519468945715,-0.024364769497448084,0.011340931304931547,0.7751969614172798,0.4379692442875292,0.027840755573691756,0.03868341775981734
1995-09-30,6.121152608933716,-0.218278696902872,-0.02436476967919151,0.011177965730421315,0.8079394321977171,0.4395345308329861,0.027840755378344278,0.03864238231568555
1995-12-31,6.255206381179451,-0.21282386599703906,-0.024364769830853433,0.011185075681806513,0.759712987312242,0.44197976089246666,0.027840755183852567,0.038607120507463816
1996-03-31,6.734681297711951,-0.20776898761408158,-0.024364769969498542,0.011210432209312587,0.7546504112535156,0.4440539422878515,0.027840754989663628,0.0385538832340163
1996-06-30,6.721375660144485,-0.20179484877925957,-0.024364770122452244,0.011218949503977439,0.7896121746191971,0.4460474799724372,0.027840754794577597,0.03848227510863187
1996-09-30,6.078926579380987,-0.19560065255235856,-0.024364770299532157,0.011041073838735191,0.79150692539761,0.447798519528295,0.027840754600310224,0.03846875117308307
1996-12-31,5.671425097052234,-0.18838725615137736,-0.02436477046611077,0.010886142436950559,0.7651079494376635,0.4507834401849678,0.027840754407260856,0.03843423450711409
1997-03-31,6.34275563763617,-0.18092229553874611,-0.024364770605489774,0.010884726336875507,0.7778161868361558,0.45350305846359373,0.027840754213392195,0.03838359813618508
1997-06-30,7.095494260235258,-0.17364618204797788,-0.024364770742170954,0.010900913436604799,0.756402762464857,0.45645442632569155,0.02784075401949972,0.03834030546648424
1997-09-30,8.279067646871953,-0.1661674106118199,-0.02436477085998161,0.01097096912517898,0.7398708699777898,0.4591975496398852,0.02784075382695817,0.03828756710969398
1997-12-31,7.85632472012553,-0.15981233134030212,-0.02436477100793078,0.011057433846260456,0.7666683167208254,0.46177574047480957,0.02784075363281621,0.03822304067454455
1998-03-31,9.34924830050916,-0.15803206547974213,-0.024364771020695772,0.011296208941238216,0.7737693147058214,0.4644782291623566,0.027840753443726763,0.03814353842289912
1998-06-30,10.201460618088767,-0.15536568921614716,-0.02436477106525851,0.011413518146552892,0.75508600144457,0.4669530166445719,0.027840753254679138,0.03807664391821261
1998-09-30,9.39899000133747,-0.15135551742420963,-0.02436477117938424,0.011391739675618004,0.7526009225561084,0.4691969674941555,0.027840753063917076,0.03799611746646047
1998-12-31,9.747198703882068,-0.1470585232546403,-0.024364771209608123,0.011383214974549057,0.7502516036396513,0.4712298172444716,0.027840752876876422,0.03790170037048318
